MONTH,CUSTOMER_ID,SERVICE_ID,CONTRACTS,TOTAL_SAAS_REVENUE_USD
2023-10-01,114184,28,18,1890
2023-07-01,167564,28,26,2925
2023-11-01,193316,28,48,7056
2023-09-01,103640,28,1,75
2023-07-01,107876,9,292,654851.145
2023-08-01,150284,9,152,142017.54
2023-10-01,213880,9,9,12938.4
2023-07-01,153292,9,1,1800.24
2023-09-01,162424,28,87,12789
2023-08-01,120720,28,26,3822
2023-10-01,302904,9,16,25876.8
2023-12-01,186472,9,3,5391
2023-11-01,155620,9,6,10782
2023-07-01,21548,28,22,1650
2023-09-01,14752,28,8,840
2023-10-01,17684,28,33,2475
2023-09-01,134460,28,34,3978
2023-11-01,41820,28,102,14994
2023-08-01,168684,28,2,294
2023-10-01,147872,28,71,5325
2023-09-01,122560,28,4,588
2023-12-01,38016,28,7,735
2023-09-01,128076,28,360,27000
2023-10-01,18456,5,94,141000
2023-09-01,127936,5,7,7350
2023-08-01,15012,28,173,12975
2023-08-01,247688,28,155,9300
2023-11-01,251936,28,13,1911
2023-12-01,52352,28,100,3000
2023-09-01,210716,9,5,8985
2023-12-01,18376,9,26,36262.2975
2023-11-01,107016,9,9,13797
2023-11-01,135036,9,4,6000
2023-12-01,178312,9,6,10782
2023-09-01,305152,9,2,3000
2023-10-01,18852,9,88,128643.48
2023-08-01,308852,9,1,1797
2023-11-01,26120,9,3,4500
2023-10-01,152936,9,1,1797
2023-12-01,134056,9,3,4500
2023-11-01,292576,9,1,1797
2023-09-01,114680,9,61,109618.98
2023-10-01,280580,9,3,4851
2023-07-01,230668,9,1,1773.6
2023-11-01,148748,9,34,48810
2023-07-01,158180,28,207,18009
2023-07-01,197660,28,8,1176
2023-10-01,15316,28,46,3666
2023-12-01,116492,28,18,2646
2023-11-01,14376,28,23,2415
2023-08-01,251392,28,5,735
2023-07-01,148680,28,115,10350
2023-07-01,143164,28,40,4200
2023-12-01,15188,28,85,7650
2023-11-01,40304,28,14,1638
2023-09-01,145860,28,15,1755
2023-09-01,106556,9,81,110496
2023-12-01,19572,9,1,1500
2023-11-01,20668,28,77,11319
2023-07-01,162836,28,2,294
2023-10-01,25376,28,90,6750
2023-08-01,257404,28,2,234
2023-08-01,98444,28,26,1950
2023-08-01,147820,9,27,39079.26
2023-12-01,309368,9,103,175571.97
2023-08-01,240520,9,36,53543.16
2023-08-01,197396,9,5,8985
2023-10-01,21316,9,18,27000
2023-12-01,14876,9,2,3594
2023-09-01,240424,9,6,10782
2023-08-01,131444,9,5,7125
2023-09-01,18884,9,3,4200
2023-07-01,138012,9,1,1492.41
2023-10-01,20492,9,6,10782
2023-10-01,20284,9,67,99405
2023-07-01,26700,9,1,1782.21
2023-10-01,202584,9,1,1797
2023-11-01,267164,28,14,2058
2023-07-01,14344,28,34,3570
2023-11-01,155360,28,49,7203
2023-12-01,15520,28,53,1590
2023-10-01,170848,28,15,2205
2023-07-01,244616,28,8,1176
2023-07-01,18856,28,6,630
2023-09-01,158180,28,296,25752
2023-07-01,181820,28,28,4116
2023-09-01,168508,9,1,1350
2023-07-01,31528,28,8,600
2023-12-01,152248,9,3,5031
2023-08-01,191724,9,1,1797
2023-11-01,152716,9,3,4494
2023-11-01,151468,28,34,3570
2023-08-01,14224,28,154,18642
2023-07-01,251960,28,21,3087
2023-10-01,166288,28,27,3240
2023-11-01,58032,28,6,666
2023-11-01,253680,5,41,43050
2023-10-01,145648,28,18,2646
2023-08-01,271336,9,12,18000
2023-11-01,426872,28,46,6762
2023-08-01,52112,28,14,1050
2023-09-01,16620,28,14,750
2023-08-01,196136,28,15,2205
2023-12-01,232776,9,1,1797
2023-11-01,150284,9,146,136413
2023-11-01,15012,28,179,13425
2023-12-01,118328,34,6,900
2023-09-01,20236,28,228,13680
2023-12-01,16500,28,22,1980
2023-12-01,166348,28,15,1125
2023-11-01,115512,28,17,2499
2023-12-01,341768,28,3,0
2023-12-01,45260,28,71,2130
2023-10-01,129052,28,7,1029
2023-10-01,20284,28,104,7800
2023-12-01,137780,9,7,10500
2023-12-01,14988,9,93,91650
2023-11-01,24764,9,11,16500
2023-08-01,109688,9,5,10514.91
2023-08-01,213152,28,3,441
2023-10-01,138904,28,41,3936
2023-12-01,177996,28,57,855
2023-08-01,99372,28,46,1380
2023-12-01,158180,28,338,29406
2023-07-01,114608,28,36,3822
2023-10-01,121724,28,39,4563
2023-12-01,15440,28,70,7350
2023-11-01,15632,28,307,32235
2023-11-01,103836,28,52,6084
2023-08-01,16340,28,7,525
2023-08-01,14344,28,34,3570
2023-11-01,25736,28,33,3861
2023-08-01,155348,28,38,877.2
2023-11-01,156380,9,14,14700
2023-10-01,15844,9,22,33000
2023-10-01,203636,9,2,3594
2023-10-01,20168,9,32,32175
2023-10-01,131024,9,4,7688.13
2023-08-01,264984,9,5,7200
2023-08-01,135960,9,19,34143
2023-08-01,14584,9,45,68316
2023-10-01,304172,9,1,2097
2023-10-01,107876,9,252,567279
2023-10-01,172272,9,16,28752
2023-10-01,155068,9,119,90000
2023-07-01,15688,9,11,16410.03
2023-12-01,15844,9,22,33000
2023-10-01,163884,28,35,2625
2023-08-01,130376,28,11,825
2023-09-01,83216,28,5,735
2023-07-01,221276,5,3,9000
2023-07-01,14764,28,161,6762
2023-09-01,214580,28,3,315
2023-09-01,16500,28,21,1890
2023-10-01,329400,34,4,755.01
2023-09-01,216884,28,89,13083
2023-11-01,14520,28,134,6711
2023-11-01,106556,9,64,84234
2023-11-01,161388,28,50,5244
2023-08-01,118740,28,50,1800
2023-08-01,296100,28,2,294
2023-10-01,23728,28,5,375
2023-09-01,307852,28,16,2352
2023-12-01,25648,28,3,441
2023-07-01,23348,28,30,2250
2023-08-01,23348,28,31,2325
2023-11-01,181344,28,17,1224
2023-12-01,26804,28,7,1029
2023-08-01,18416,9,6,9000
2023-07-01,120040,9,1,1194.27
2023-07-01,240520,9,41,60152.52
2023-07-01,155648,9,8,11955.45
2023-12-01,412464,9,13,16341
2023-09-01,230384,9,10,17970
2023-11-01,298864,9,1,1797
2023-09-01,258292,9,7,9447
2023-11-01,174008,9,4,6288
2023-12-01,169932,9,5,8985
2023-11-01,181812,9,4,7188
2023-10-01,160316,9,10,12000
2023-10-01,152800,9,2,3000
2023-08-01,256040,9,1,1500
2023-11-01,18456,9,21,29397
2023-12-01,117692,9,35,52797.99
2023-08-01,184584,28,14,2058
2023-11-01,178820,28,47,1410
2023-08-01,118808,28,17,2499
2023-12-01,433364,28,63,5292
2023-11-01,19152,28,36,3780
2023-10-01,124652,28,5,375
2023-10-01,157584,28,37,4980
2023-11-01,198724,28,214,31458
2023-08-01,294372,28,5,735
2023-10-01,124252,28,50,3750
2023-10-01,188452,28,31,4557
2023-09-01,170648,28,49,7203
2023-10-01,186276,28,15,2205
2023-07-01,229240,28,1,0
2023-09-01,20480,28,16,1200
2023-12-01,149492,28,9,1323
2023-08-01,58168,28,54,4050
2023-12-01,103696,28,12,900
2023-10-01,152428,28,66,9702
2023-10-01,284056,28,17,2040
2023-07-01,175240,28,2,294
2023-12-01,416728,28,12,0
2023-08-01,16848,28,7,1029
2023-11-01,129972,28,40,0
2023-09-01,167312,28,18,2646
2023-08-01,16104,28,34,15.3
2023-11-01,128568,28,8,936
2023-07-01,166356,28,4,420
2023-07-01,21808,28,6,882
2023-11-01,278340,28,1,147
2023-07-01,119880,9,40,60427.14
2023-07-01,20108,9,3,4526.01
2023-10-01,131280,9,4,6297
2023-11-01,130596,9,29,30900
2023-08-01,33352,9,15,26955
2023-07-01,51840,9,2,3287.1
2023-11-01,254584,9,23,41331
2023-10-01,24264,9,2,3000
2023-12-01,280580,9,3,4851
2023-09-01,294440,9,1,1797
2023-10-01,343280,9,1,1440
2023-10-01,195988,9,47,64494.99
2023-11-01,200060,9,4,7188
2023-11-01,130528,9,11,16500
2023-07-01,257404,28,2,234
2023-12-01,111948,28,21,3087
2023-10-01,172180,28,13,1911
2023-08-01,219520,5,2,7687.8
2023-12-01,21336,9,22,33297
2023-08-01,121968,9,1,1500
2023-10-01,108216,9,7,10500
2023-09-01,14208,28,82,7134
2023-08-01,14204,28,236,34692
2023-12-01,243988,28,13,1521
2023-07-01,179620,28,10,1470
2023-08-01,125224,28,2,294
2023-12-01,135656,28,8,1176
2023-07-01,199552,9,8,11461.35
2023-11-01,324960,9,1,1458
2023-10-01,15060,9,3,4500
2023-11-01,266332,9,21,31500
2023-11-01,14400,9,2,3000
2023-08-01,164588,9,4,5928
2023-11-01,16920,9,4,4982.7975
2023-12-01,325840,9,1,1797
2023-10-01,232012,9,14,21000
2023-07-01,25684,9,21,32326.29
2023-08-01,147660,9,121,91498.74
2023-08-01,258536,9,2,3594
2023-10-01,117692,9,32,48297.99
2023-08-01,111096,9,2,3000
2023-07-01,153072,28,10,1470
2023-08-01,160048,28,21,630
2023-11-01,25436,28,7,1029
2023-11-01,118808,28,21,3087
2023-10-01,247980,28,7,1029
2023-12-01,180340,28,2,294
2023-09-01,266924,28,10,1170
2023-12-01,30088,28,1,147
2023-12-01,103500,28,14,840
2023-08-01,207972,5,1,794.61
2023-07-01,18372,28,61,7320
2023-10-01,231236,28,23,2526
2023-08-01,21668,28,12,900
2023-07-01,18668,28,5,150
2023-12-01,19132,28,21,2205
2023-09-01,15780,28,9,945
2023-08-01,136648,28,42,5040
2023-10-01,128144,28,48,5040
2023-09-01,303940,28,31,4557
2023-07-01,38528,28,9,1323
2023-09-01,15672,28,1,75
2023-10-01,269680,28,3,441
2023-10-01,144436,28,70,4200
2023-07-01,274160,28,1,147
2023-12-01,125504,28,9,1323
2023-07-01,48172,28,121,9075
2023-11-01,54296,28,10,1470
2023-12-01,123680,28,4,300
2023-08-01,18924,28,104,15288
2023-10-01,279092,28,4,468
2023-08-01,15100,28,11,825
2023-07-01,143528,28,4,300
2023-10-01,103792,28,33,3861
2023-07-01,129072,28,35,4416
2023-11-01,412464,28,13,780
2023-11-01,21284,28,1,147
2023-07-01,15748,28,129,17082
2023-07-01,20580,28,7,1029
2023-11-01,247236,28,6,882
2023-07-01,23828,28,20,1500
2023-08-01,228784,5,71,21300
2023-07-01,14428,28,76,7980
2023-08-01,173096,28,20,600
2023-09-01,283852,28,4,588
2023-12-01,148776,28,42,6174
2023-09-01,247112,9,5,8985.99
2023-08-01,133944,9,2,3000
2023-12-01,133968,28,131,9825
2023-07-01,188104,28,78,4680
2023-08-01,150268,28,26,3822
2023-07-01,112300,34,2,300
2023-10-01,123680,28,3,225
2023-10-01,155036,28,25,3675
2023-10-01,126904,28,3,441
2023-10-01,337200,28,22,3234
2023-12-01,223684,28,15,1125
2023-12-01,155648,28,22,3234
2023-10-01,187724,28,1,0
2023-09-01,53852,28,8,840
2023-12-01,292072,28,20,1200
2023-07-01,276448,28,1,147
2023-11-01,105204,28,7,1029
2023-12-01,339224,28,5,735
2023-08-01,84536,28,6,882
2023-11-01,242240,28,23,3381
2023-09-01,206260,28,77,4437
2023-09-01,15948,28,19,2793
2023-12-01,287188,28,20,990
2023-11-01,14868,28,20,1500
2023-11-01,133720,28,19,1425
2023-07-01,282268,28,1,147
2023-11-01,158188,28,41,3075
2023-09-01,14824,28,25,2550
2023-08-01,21220,28,9,945
2023-08-01,265940,28,104,7725
2023-10-01,16412,28,11,825
2023-12-01,339876,28,4,540
2023-07-01,219768,28,13,1911
2023-12-01,185224,28,8,744
2023-11-01,21232,28,5,375
2023-12-01,20004,28,16,432
2023-09-01,156240,28,6,882
2023-12-01,19672,28,50,5850
2023-11-01,102208,28,11,1617
2023-09-01,232364,5,2,2100
2023-10-01,209788,28,10,1470
2023-07-01,37032,28,30,4410
2023-11-01,19140,28,62,6510
2023-12-01,154588,28,15,2205
2023-10-01,165104,9,66,89100
2023-07-01,14776,9,7,12550.44
2023-10-01,158860,9,33,49500
2023-09-01,19920,9,5,7500
2023-08-01,105468,9,15,23196
2023-09-01,147904,9,4,6000
2023-08-01,201672,9,2,3240
2023-12-01,201672,9,3,4860
2023-09-01,215724,9,6,10782
2023-08-01,26028,9,25,43737
2023-11-01,49612,9,4,6000
2023-12-01,188752,9,1,1797
2023-12-01,273812,28,6,720
2023-10-01,340448,9,1,1797
2023-09-01,98360,9,2,3000
2023-11-01,21888,28,12,900
2023-07-01,167836,28,21,3087
2023-09-01,181344,28,21,1512
2023-12-01,17304,28,5,525
2023-11-01,19112,28,26,2166
2023-12-01,173372,28,3,441
2023-07-01,30624,28,2,150
2023-07-01,204836,34,24,3696.78
2023-09-01,19984,28,8,1176
2023-11-01,21936,28,10,300
2023-09-01,46072,28,3,441
2023-10-01,326804,28,70,6090
2023-12-01,18924,28,103,15141
2023-08-01,274032,28,4,588
2023-08-01,189396,28,1,147
2023-12-01,441232,28,1,147
2023-07-01,100188,28,8,840
2023-08-01,46504,28,21,0
2023-10-01,182104,28,10,1470
2023-08-01,135744,28,26,2301
2023-11-01,174112,28,52,7644
2023-09-01,51080,28,31,3255
2023-07-01,267372,28,5,735
2023-12-01,194752,28,8,1176
2023-12-01,149760,5,4,2928
2023-11-01,98892,28,19,1425
2023-10-01,26968,28,7,525
2023-10-01,221224,9,4,5760
2023-08-01,106448,9,31,27900
2023-09-01,133800,9,11,16500
2023-12-01,228844,9,3,5391
2023-08-01,199588,9,2,2700
2023-07-01,212908,9,1,1252.41
2023-11-01,221700,9,38,54240
2023-08-01,20400,9,1,1797
2023-10-01,293552,9,1,1350
2023-12-01,137144,9,1,1500
2023-10-01,277552,9,1,1797
2023-12-01,147820,9,23,33000
2023-08-01,133220,9,1,1500
2023-07-01,207944,9,1,1790.19
2023-10-01,114720,9,20,30000
2023-11-01,133932,9,7,9648
2023-10-01,28252,9,9,13500
2023-10-01,191240,9,10,16530
2023-11-01,241408,9,10,17970
2023-09-01,273656,9,7,9030
2023-09-01,173928,9,9,14094
2023-12-01,293088,9,4,7188
2023-07-01,225016,9,2,3001.95
2023-12-01,112652,9,10,15000
2023-12-01,283948,9,3,5391
2023-09-01,15124,9,27,46737
2023-11-01,240504,9,1,1797
2023-10-01,18484,9,9,13500
2023-10-01,104472,9,6,9000
2023-10-01,159428,9,11,19767
2023-11-01,133228,9,61,54900
2023-10-01,19916,9,14,21000
2023-07-01,136208,9,29,43466.19
2023-11-01,99676,28,226,16950
2023-10-01,131988,28,35,3675
2023-10-01,25316,28,40,3099
2023-09-01,265944,28,35,4095
2023-07-01,194492,28,10,1470
2023-12-01,16564,28,11,330
2023-11-01,232216,28,25,2175
2023-11-01,116048,28,8,1176
2023-10-01,144676,28,22,3234
2023-07-01,18488,28,81,8505
2023-07-01,165908,28,68,8202.6
2023-12-01,19492,28,44,6468
2023-08-01,189952,28,8,1176
2023-09-01,100552,28,39,3069
2023-10-01,152208,28,3,441
2023-08-01,126912,28,18,2646
2023-11-01,16808,28,91,9555
2023-08-01,26480,28,41,4920
2023-12-01,22000,28,7,525
2023-08-01,14384,28,63,1890
2023-07-01,228784,28,71,0
2023-07-01,185008,28,7,1029
2023-10-01,264956,28,1,0
2023-12-01,14908,28,94,7050
2023-07-01,98840,28,5,375
2023-11-01,35784,28,18,1350
2023-12-01,112100,28,3,441
2023-07-01,40544,28,3,441
2023-10-01,216108,9,1,1425
2023-12-01,246588,9,2,3594
2023-11-01,171744,9,2,3594
2023-09-01,329496,9,1,1797
2023-11-01,273464,9,3,5391
2023-12-01,330076,9,1,1797
2023-10-01,192292,9,22,25182
2023-09-01,109884,9,16,28302
2023-09-01,109664,28,69,8193
2023-11-01,126200,28,17,2499
2023-11-01,159500,28,59,8673
2023-09-01,228784,5,73,21900
2023-11-01,273056,28,4,588
2023-12-01,54936,28,4,588
2023-07-01,137380,28,7,1029
2023-07-01,148324,28,69,2070
2023-12-01,331516,28,22,3234
2023-11-01,18248,28,11,1617
2023-08-01,149560,28,2,294
2023-12-01,14740,28,15,420
2023-08-01,14740,28,18,420
2023-10-01,342024,28,21,0
2023-11-01,15656,28,29,3045
2023-09-01,15656,28,32,3360
2023-11-01,15520,28,50,1500
2023-09-01,248308,28,16,2352
2023-10-01,213948,28,23,1725
2023-07-01,203772,34,1,150
2023-07-01,55260,28,11,825
2023-08-01,22360,28,5,735
2023-11-01,38196,28,2,210
2023-07-01,213632,34,2,300
2023-07-01,292284,28,2,294
2023-10-01,41820,28,112,16464
2023-11-01,20712,28,5,735
2023-07-01,125112,28,1,0
2023-09-01,18536,28,75,11025
2023-09-01,50836,28,1,30
2023-09-01,214168,28,24,2880
2023-12-01,155128,9,12,21564.99
2023-09-01,15012,28,174,13050
2023-11-01,148756,9,23,24081
2023-08-01,187876,9,39,70083
2023-08-01,137060,9,16,23772
2023-11-01,142284,9,89,101244
2023-07-01,146192,9,4,7215.72
2023-11-01,120040,9,1,1200
2023-08-01,21516,9,2,3294
2023-12-01,107876,9,237,531820.02
2023-08-01,124988,9,9,10800
2023-11-01,19196,9,50,75314.13
2023-09-01,178480,9,16,27360.99
2023-09-01,218704,9,11,14190
2023-07-01,276492,28,68,8160
2023-11-01,243288,28,6,540
2023-09-01,21668,28,9,675
2023-11-01,136648,28,39,4680
2023-09-01,217884,28,4,588
2023-07-01,266084,28,11,1617
2023-08-01,216832,28,10,1470
2023-10-01,34536,28,17,1275
2023-08-01,116048,9,6,9000
2023-07-01,18212,28,19,1425
2023-11-01,344784,28,1,147
2023-11-01,51044,28,22,3234
2023-09-01,323636,28,35,5145
2023-08-01,111416,9,4,5100
2023-09-01,15744,28,13,975
2023-11-01,294928,28,53,7791
2023-12-01,128452,9,5,7500
2023-12-01,22840,9,13,19500
2023-11-01,18936,9,19,28500
2023-12-01,38624,9,4,6000
2023-09-01,149776,9,10,15000
2023-12-01,171016,9,25,37440
2023-07-01,234808,9,5,5385.78
2023-11-01,125788,9,6,9297
2023-07-01,568364,9,18,23167.05
2023-12-01,205704,9,2,3240
2023-12-01,325072,9,2,2880
2023-11-01,217728,28,92,13524
2023-08-01,267004,28,50,4800
2023-12-01,277544,28,52,7644
2023-07-01,20116,28,1,147
2023-08-01,18792,28,29,2175
2023-07-01,193716,28,1,147
2023-11-01,26180,28,11,1617
2023-12-01,284976,28,3,441
2023-09-01,202452,28,7,525
2023-07-01,176368,28,31,4557
2023-08-01,14944,28,185,21645
2023-07-01,15080,28,10,750
2023-08-01,15632,28,333,35091
2023-10-01,155744,28,3,315
2023-10-01,251996,28,29,3045
2023-08-01,27584,28,31,4557
2023-07-01,169708,28,3,0
2023-07-01,26672,28,5,375
2023-11-01,163508,28,26,3822
2023-10-01,24808,28,29,4263
2023-09-01,148324,28,88,2640
2023-09-01,21500,28,6,882
2023-12-01,25376,28,91,6825
2023-09-01,57100,28,24,3528
2023-12-01,170588,28,162,12247.2
2023-08-01,20876,28,56,5880
2023-11-01,216208,28,31,4557
2023-11-01,32944,28,10,1470
2023-09-01,14736,28,67,6030
2023-10-01,145908,28,8,1176
2023-07-01,147660,9,105,80192.31
2023-09-01,124956,9,4,6000
2023-10-01,133228,9,61,54900
2023-09-01,218796,28,140,17220
2023-07-01,22212,28,13,975
2023-07-01,222336,28,1,87
2023-12-01,25316,28,37,3018
2023-07-01,15408,28,32,0
2023-07-01,172340,28,5,735
2023-08-01,204736,28,3,441
2023-10-01,26788,28,8,1176
2023-12-01,169432,28,14,2058
2023-10-01,192224,28,9,1323
2023-09-01,144436,28,70,4200
2023-12-01,156628,28,2,294
2023-07-01,333692,28,1,147
2023-07-01,255624,28,11,0
2023-08-01,15900,28,21,2205
2023-12-01,22692,28,10,600
2023-11-01,251908,28,1,147
2023-07-01,151108,28,14,2058
2023-10-01,123396,5,49,36750
2023-07-01,133720,28,21,1575
2023-12-01,169068,28,1,147
2023-08-01,150608,28,6,882
2023-12-01,299992,28,11,990
2023-11-01,312936,28,4,588
2023-11-01,431908,28,68,5916
2023-11-01,19780,28,11,1617
2023-11-01,127988,28,6,882
2023-10-01,329592,28,6,882
2023-09-01,228324,34,1,150
2023-07-01,152104,28,2,294
2023-11-01,209348,28,9,1323
2023-09-01,341208,28,27,3969
2023-09-01,210176,28,18,2646
2023-10-01,242188,28,30,4050
2023-10-01,340488,28,5,735
2023-10-01,331040,28,46,6072
2023-11-01,14800,28,60,3600
2023-07-01,33352,28,21,3087
2023-07-01,156664,28,5,525
2023-08-01,117500,28,7,1029
2023-08-01,19140,28,62,6510
2023-07-01,14744,28,84,12348
2023-08-01,14792,28,64,7335
2023-08-01,14712,28,133,3990
2023-09-01,17376,9,4,6594
2023-12-01,205160,9,16,30549
2023-12-01,217836,9,1,1797.99
2023-07-01,124368,9,13,22331.7
2023-09-01,168512,9,4,5988
2023-09-01,110536,9,1,1500
2023-12-01,202136,9,1,1797
2023-09-01,25112,9,13,15804
2023-08-01,191864,9,3,4491
2023-08-01,114584,9,9,13500
2023-08-01,119664,9,13,15616.74
2023-10-01,172332,9,9,16173
2023-08-01,106644,9,7,11985.99
2023-10-01,24216,28,63,9261
2023-09-01,226620,5,8,13601.07
2023-10-01,16712,28,105,8091
2023-08-01,249284,28,7,0
2023-07-01,14184,28,6,882
2023-08-01,21548,28,22,1650
2023-09-01,183264,28,23,3381
2023-09-01,237076,28,12,1764
2023-09-01,33492,28,2,150
2023-07-01,22876,28,35,2625
2023-10-01,25460,28,3,315
2023-12-01,210296,5,1,1228.35
2023-07-01,228680,28,13,1911
2023-12-01,132676,34,5,750
2023-11-01,427768,34,1,150
2023-12-01,163120,28,18,2160
2023-11-01,19688,28,86,9030
2023-09-01,20408,28,20,2940
2023-12-01,216572,28,18,1620
2023-10-01,18316,28,63,9261
2023-07-01,209396,28,10,900
2023-09-01,165580,28,10,1050
2023-11-01,22384,28,196,11760
2023-08-01,147756,28,5,735
2023-11-01,89952,28,27,3969
2023-07-01,181516,28,6,630
2023-12-01,109608,28,154,4620
2023-12-01,14820,28,8,720
2023-09-01,224368,28,1,147
2023-12-01,197996,28,9,1293
2023-09-01,150208,28,5,735
2023-08-01,127328,9,24,21526.26
2023-11-01,127328,9,23,19650
2023-10-01,89952,28,24,3528
2023-11-01,162932,28,51,0
2023-07-01,211048,28,3,441
2023-08-01,100136,28,29,3087
2023-07-01,169440,28,16,2352
2023-12-01,38728,28,26,2730
2023-09-01,144192,28,5,735
2023-10-01,24172,9,30,45267
2023-12-01,127712,9,8,11400
2023-08-01,169932,9,5,8985
2023-07-01,21076,9,31,33571.83
2023-08-01,214188,9,1,1797
2023-07-01,174808,9,7,10498.32
2023-08-01,16100,9,16,23391
2023-11-01,14336,9,12,19797
2023-09-01,181760,9,7,12579
2023-07-01,221904,9,19,33923.88
2023-12-01,112988,9,5,6303
2023-11-01,160712,9,68,102297
2023-12-01,171748,9,8,14376
2023-10-01,104076,9,19,28500
2023-09-01,124460,9,7,10500
2023-10-01,22484,9,3,4584
2023-10-01,17108,9,31,34875
2023-07-01,180764,9,1,1525.98
2023-10-01,161196,9,2,3594
2023-08-01,265384,9,5,10492.92
2023-10-01,130900,9,2,3297
2023-11-01,156328,9,2,3000
2023-10-01,112868,9,29,43500
2023-11-01,15276,9,26,39594
2023-08-01,99008,9,7,10890
2023-10-01,222364,9,8,11500.8
2023-12-01,163336,9,2,3594
2023-12-01,15028,28,41,6027
2023-10-01,31140,28,12,1260
2023-11-01,51444,28,14,2058
2023-10-01,167240,5,41,39975
2023-08-01,15580,28,82,12054
2023-12-01,264356,28,6,882
2023-07-01,180624,28,1,147
2023-11-01,233564,5,5,7500
2023-08-01,303404,28,3,225
2023-12-01,25208,28,2,294
2023-09-01,112776,28,4,300
2023-09-01,99292,28,14,2058
2023-11-01,192264,28,28,4116
2023-11-01,128192,28,100,11700
2023-11-01,241024,28,12,516
2023-07-01,284264,28,1,147
2023-07-01,137928,28,1,147
2023-07-01,199108,28,47,2820
2023-10-01,302056,28,11,825
2023-11-01,135748,28,8,1176
2023-10-01,176056,28,10,1470
2023-11-01,33352,28,25,3675
2023-12-01,218464,28,4,468
2023-11-01,116000,28,2,150
2023-11-01,147984,28,3,441
2023-11-01,347272,28,10,1200
2023-09-01,107460,28,13,975
2023-11-01,156684,34,9,1350
2023-11-01,177792,28,3,225
2023-12-01,201572,28,2,294
2023-10-01,41404,28,14,1218
2023-08-01,99008,28,9,1323
2023-11-01,199100,28,6,882
2023-09-01,14992,28,102,14994
2023-12-01,242192,28,38,5586
2023-07-01,112736,28,9,1323
2023-11-01,15052,28,193,14619
2023-11-01,21548,28,25,1875
2023-12-01,208972,28,23,3381
2023-08-01,18996,9,9,11853.1068
2023-09-01,16208,28,3,441
2023-10-01,276680,28,14,2058
2023-11-01,154972,9,26,46722
2023-12-01,153196,9,3,4500
2023-09-01,26356,9,3,3932.565
2023-11-01,14480,9,6,9000
2023-09-01,102128,9,27,40797
2023-10-01,26260,28,37,2775
2023-11-01,114332,28,14,2058
2023-10-01,15028,28,43,6321
